,x1,x2,y_oakface,y_clybrkcm,y_distd_wn,x2,y_sndpgaz1
248,6.08326,1643.85,0.971345,0.928014,0.978549,1643.85,0.986839
247,6.09757,1640.0,0.972317,0.929325,0.977993,1640.0,0.981858
246,6.11195,1636.14,0.97186,0.925729,0.977508,1636.14,0.984575
245,6.1264,1632.28,0.974234,0.928895,0.97699,1632.28,0.986767
244,6.14092,1628.42,0.974667,0.932368,0.97644,1628.42,0.984114
243,6.15551,1624.56,0.97422,0.932798,0.975908,1624.56,0.988143
242,6.17016,1620.7,0.971483,0.934327,0.975474,1620.7,0.983187
241,6.18489,1616.84,0.970607,0.934863,0.975176,1616.84,0.984905
240,6.19969,1612.98,0.971371,0.939982,0.975046,1612.98,0.986893
239,6.21455,1609.13,0.971776,0.938709,0.975128,1609.13,0.986958
238,6.22949,1605.27,0.971485,0.937873,0.975296,1605.27,0.986209
237,6.2445,1601.41,0.974083,0.938557,0.975521,1601.41,0.984525
236,6.25959,1597.55,0.974827,0.936078,0.975787,1597.55,0.982539
235,6.27474,1593.69,0.972812,0.937099,0.976067,1593.69,0.987011
234,6.28997,1589.83,0.971475,0.937274,0.976334,1589.83,0.988144
233,6.30528,1585.97,0.971965,0.933949,0.976577,1585.97,0.984166
232,6.32065,1582.11,0.971653,0.933989,0.976796,1582.11,0.98395
231,6.33611,1578.25,0.970461,0.92973,0.977012,1578.25,0.983109
230,6.35164,1574.4,0.969099,0.928918,0.977219,1574.4,0.979216
229,6.36724,1570.54,0.969584,0.925518,0.977413,1570.54,0.985214
228,6.38293,1566.68,0.970432,0.927929,0.977596,1566.68,0.985178
227,6.39869,1562.82,0.970742,0.923824,0.977773,1562.82,0.982049
226,6.41453,1558.96,0.965412,0.921466,0.977946,1558.96,0.982809
225,6.43044,1555.1,0.972906,0.9239,0.978113,1555.1,0.985278
224,6.44644,1551.24,0.973038,0.92402,0.978272,1551.24,0.984382
223,6.46251,1547.38,0.975319,0.920428,0.978424,1547.38,0.981025
222,6.47867,1543.53,0.971872,0.9134,0.978571,1543.53,0.978891
